quarter,delay,dud,time,y
3,0,0,1,2
3,2,0,1,6
3,5,0,1,0
3,8,0,1,1
3,11,0,1,1
3,14,0,1,0
3,17,0,1,0
3,20,0,1,1
3,23,0,1,0
3,26,0,1,0
3,29,0,1,0
3,32,0,1,0
3,35,0,1,0
3,38,0,1,0
3,41,0,1,1
4,0,0,2,2
4,2,0,2,7
4,5,0,2,1
4,8,0,2,1
4,11,0,2,1
4,14,0,2,0
4,17,0,2,0
4,20,0,2,0
4,23,0,2,0
4,26,0,2,0
4,29,0,2,0
4,32,0,2,0
4,35,0,2,0
4,38,0,2,0
4,41,0,2,0
1,0,0,3,4
1,2,0,3,4
1,5,0,3,0
1,8,0,3,1
1,11,0,3,0
1,14,0,3,2
1,17,0,3,0
1,20,0,3,0
1,23,0,3,0
1,26,0,3,0
1,29,0,3,2
1,32,0,3,1
1,35,0,3,0
1,38,0,3,0
1,41,0,3,0
2,0,0,4,0
2,2,0,4,10
2,5,0,4,0
2,8,0,4,1
2,11,0,4,1
2,14,0,4,0
2,17,0,4,0
2,20,0,4,0
2,23,0,4,1
2,26,0,4,1
2,29,0,4,1
2,32,0,4,0
2,35,0,4,0
2,38,0,4,0
2,41,0,4,0
3,0,0,5,6
3,2,0,5,17
3,5,0,5,3
3,8,0,5,1
3,11,0,5,1
3,14,0,5,0
3,17,0,5,0
3,20,0,5,0
3,23,0,5,0
3,26,0,5,0
3,29,0,5,0
3,32,0,5,1
3,35,0,5,0
3,38,0,5,0
3,41,0,5,1
4,0,0,6,5
4,2,0,6,22
4,5,0,6,1
4,8,0,6,5
4,11,0,6,2
4,14,0,6,1
4,17,0,6,0
4,20,0,6,2
4,23,0,6,1
4,26,0,6,0
4,29,0,6,0
4,32,0,6,0
4,35,0,6,0
4,38,0,6,0
4,41,0,6,0
1,0,0,7,4
1,2,0,7,23
1,5,0,7,4
1,8,0,7,5
1,11,0,7,2
1,14,0,7,1
1,17,0,7,3
1,20,0,7,0
1,23,0,7,1
1,26,0,7,2
1,29,0,7,0
1,32,0,7,0
1,35,0,7,0
1,38,0,7,0
1,41,0,7,2
2,0,0,8,11
2,2,0,8,11
2,5,0,8,6
2,8,0,8,1
2,11,0,8,1
2,14,0,8,5
2,17,0,8,0
2,20,0,8,1
2,23,0,8,1
2,26,0,8,1
2,29,0,8,1
2,32,0,8,0
2,35,0,8,0
2,38,0,8,0
2,41,0,8,1
3,0,0,9,9
3,2,0,9,22
3,5,0,9,6
3,8,0,9,2
3,11,0,9,4
3,14,0,9,3
3,17,0,9,3
3,20,0,9,4
3,23,0,9,7
3,26,0,9,1
3,29,0,9,2
3,32,0,9,0
3,35,0,9,0
3,38,0,9,0
3,41,0,9,0
4,0,0,10,2
4,2,0,10,28
4,5,0,10,8
4,8,0,10,8
4,11,0,10,5
4,14,0,10,2
4,17,0,10,2
4,20,0,10,4
4,23,0,10,3
4,26,0,10,0
4,29,0,10,1
4,32,0,10,1
4,35,0,10,0
4,38,0,10,0
4,41,0,10,1
1,0,0,11,5
1,2,0,11,26
1,5,0,11,14
1,8,0,11,6
1,11,0,11,9
1,14,0,11,2
1,17,0,11,5
1,20,0,11,5
1,23,0,11,5
1,26,0,11,1
1,29,0,11,2
1,32,0,11,0
1,35,0,11,0
1,38,0,11,0
1,41,0,11,2
2,0,0,12,7
2,2,0,12,49
2,5,0,12,17
2,8,0,12,11
2,11,0,12,4
2,14,0,12,7
2,17,0,12,5
2,20,0,12,7
2,23,0,12,3
2,26,0,12,1
2,29,0,12,2
2,32,0,12,2
2,35,0,12,0
2,38,0,12,1
2,41,0,12,4
3,0,0,13,13
3,2,0,13,37
3,5,0,13,21
3,8,0,13,9
3,11,0,13,3
3,14,0,13,5
3,17,0,13,7
3,20,0,13,3
3,23,0,13,1
3,26,0,13,3
3,29,0,13,1
3,32,0,13,0
3,35,0,13,0
3,38,0,13,0
3,41,0,13,6
4,0,0,14,12
4,2,0,14,53
4,5,0,14,16
4,8,0,14,21
4,11,0,14,2
4,14,0,14,7
4,17,0,14,0
4,20,0,14,7
4,23,0,14,0
4,26,0,14,0
4,29,0,14,0
4,32,0,14,0
4,35,0,14,0
4,38,0,14,1
4,41,0,14,1
1,0,0,15,21
1,2,0,15,44
1,5,0,15,29
1,8,0,15,11
1,11,0,15,6
1,14,0,15,4
1,17,0,15,2
1,20,0,15,2
1,23,0,15,1
1,26,0,15,0
1,29,0,15,2
1,32,0,15,0
1,35,0,15,2
1,38,0,15,2
1,41,0,15,8
2,0,0,16,17
2,2,0,16,74
2,5,0,16,13
2,8,0,16,13
2,11,0,16,3
2,14,0,16,5
2,17,0,16,3
2,20,0,16,1
2,23,0,16,2
2,26,0,16,2
2,29,0,16,0
2,32,0,16,0
2,35,0,16,0
2,38,0,16,3
2,41,0,16,5
3,0,0,17,36
3,2,0,17,58
3,5,0,17,23
3,8,0,17,14
3,11,0,17,7
3,14,0,17,4
3,17,0,17,1
3,20,0,17,2
3,23,0,17,1
3,26,0,17,3
3,29,0,17,0
3,32,0,17,0
3,35,0,17,0
3,38,0,17,3
3,41,0,17,1
4,0,0,18,28
4,2,0,18,74
4,5,0,18,23
4,8,0,18,11
4,11,0,18,8
4,14,0,18,3
4,17,0,18,3
4,20,0,18,6
4,23,0,18,2
4,26,0,18,5
4,29,0,18,4
4,32,0,18,1
4,35,0,18,1
4,38,0,18,1
4,41,0,18,3
1,0,0,19,31
1,2,0,19,80
1,5,0,19,16
1,8,0,19,9
1,11,0,19,3
1,14,0,19,2
1,17,0,19,8
1,20,0,19,3
1,23,0,19,1
1,26,0,19,4
1,29,0,19,6
1,32,0,19,2
1,35,0,19,1
1,38,0,19,2
1,41,0,19,6
2,0,0,20,26
2,2,0,20,99
2,5,0,20,27
2,8,0,20,9
2,11,0,20,8
2,14,0,20,11
2,17,0,20,3
2,20,0,20,4
2,23,0,20,6
2,26,0,20,3
2,29,0,20,5
2,32,0,20,5
2,35,0,20,1
2,38,0,20,1
2,41,0,20,3
3,0,0,21,31
3,2,0,21,95
3,5,0,21,35
3,8,0,21,13
3,11,0,21,18
3,14,0,21,4
3,17,0,21,6
3,20,0,21,4
3,23,0,21,4
3,26,0,21,3
3,29,0,21,3
3,32,0,21,2
3,35,0,21,0
3,38,0,21,3
3,41,0,21,3
4,0,0,22,36
4,2,0,22,77
4,5,0,22,20
4,8,0,22,26
4,11,0,22,11
4,14,0,22,3
4,17,0,22,8
4,20,0,22,4
4,23,0,22,8
4,26,0,22,7
4,29,0,22,1
4,32,0,22,0
4,35,0,22,0
4,38,0,22,2
4,41,0,22,2
1,0,0,23,32
1,2,0,23,92
1,5,0,23,32
1,8,0,23,10
1,11,0,23,12
1,14,0,23,19
1,17,0,23,12
1,20,0,23,4
1,23,0,23,3
1,26,0,23,2
1,29,0,23,0
1,32,0,23,2
1,35,0,23,2
1,38,0,23,0
1,41,0,23,2
2,0,0,24,15
2,2,0,24,92
2,5,0,24,14
2,8,0,24,27
2,11,0,24,22
2,14,0,24,21
2,17,0,24,12
2,20,0,24,5
2,23,0,24,3
2,26,0,24,0
2,29,0,24,3
2,32,0,24,3
2,35,0,24,0
2,38,0,24,1
2,41,0,24,1
3,0,0,25,34
3,2,0,25,104
3,5,0,25,29
3,8,0,25,31
3,11,0,25,18
3,14,0,25,8
3,17,0,25,6
3,20,0,25,7
3,23,0,25,3
3,26,0,25,8
3,29,0,25,0
3,32,0,25,2
3,35,0,25,1
3,38,0,25,2
3,41,1,25,0
4,0,0,26,38
4,2,0,26,101
4,5,0,26,34
4,8,0,26,18
4,11,0,26,9
4,14,0,26,15
4,17,0,26,6
4,20,0,26,1
4,23,0,26,2
4,26,0,26,2
4,29,0,26,2
4,32,0,26,3
4,35,0,26,2
4,38,1,26,0
4,41,1,26,0
1,0,0,27,31
1,2,0,27,124
1,5,0,27,47
1,8,0,27,24
1,11,0,27,11
1,14,0,27,15
1,17,0,27,8
1,20,0,27,6
1,23,0,27,5
1,26,0,27,3
1,29,0,27,3
1,32,0,27,4
1,35,1,27,0
1,38,1,27,0
1,41,1,27,0
2,0,0,28,32
2,2,0,28,132
2,5,0,28,36
2,8,0,28,10
2,11,0,28,9
2,14,0,28,7
2,17,0,28,6
2,20,0,28,4
2,23,0,28,4
2,26,0,28,5
2,29,0,28,0
2,32,1,28,0
2,35,1,28,0
2,38,1,28,0
2,41,1,28,0
3,0,0,29,49
3,2,0,29,107
3,5,0,29,51
3,8,0,29,17
3,11,0,29,15
3,14,0,29,8
3,17,0,29,9
3,20,0,29,2
3,23,0,29,1
3,26,0,29,1
3,29,1,29,0
3,32,1,29,0
3,35,1,29,0
3,38,1,29,0
3,41,1,29,0
4,0,0,30,44
4,2,0,30,153
4,5,0,30,41
4,8,0,30,16
4,11,0,30,11
4,14,0,30,6
4,17,0,30,5
4,20,0,30,7
4,23,0,30,2
4,26,1,30,0
4,29,1,30,0
4,32,1,30,0
4,35,1,30,0
4,38,1,30,0
4,41,1,30,0
1,0,0,31,41
1,2,0,31,137
1,5,0,31,29
1,8,0,31,33
1,11,0,31,7
1,14,0,31,11
1,17,0,31,6
1,20,0,31,4
1,23,1,31,3
1,26,1,31,0
1,29,1,31,0
1,32,1,31,0
1,35,1,31,0
1,38,1,31,0
1,41,1,31,0
2,0,0,32,56
2,2,0,32,124
2,5,0,32,39
2,8,0,32,14
2,11,0,32,12
2,14,0,32,7
2,17,0,32,10
2,20,1,32,1
2,23,1,32,0
2,26,1,32,0
2,29,1,32,0
2,32,1,32,0
2,35,1,32,0
2,38,1,32,0
2,41,1,32,0
3,0,0,33,53
3,2,0,33,175
3,5,0,33,35
3,8,0,33,17
3,11,0,33,13
3,14,0,33,11
3,17,1,33,2
3,20,1,33,0
3,23,1,33,0
3,26,1,33,0
3,29,1,33,0
3,32,1,33,0
3,35,1,33,0
3,38,1,33,0
3,41,1,33,0
4,0,0,34,63
4,2,0,34,135
4,5,0,34,24
4,8,0,34,23
4,11,0,34,12
4,14,1,34,1
4,17,1,34,0
4,20,1,34,0
4,23,1,34,0
4,26,1,34,0
4,29,1,34,0
4,32,1,34,0
4,35,1,34,0
4,38,1,34,0
4,41,1,34,0
1,0,0,35,71
1,2,0,35,161
1,5,0,35,48
1,8,0,35,25
1,11,1,35,5
1,14,1,35,0
1,17,1,35,0
1,20,1,35,0
1,23,1,35,0
1,26,1,35,0
1,29,1,35,0
1,32,1,35,0
1,35,1,35,0
1,38,1,35,0
1,41,1,35,0
2,0,0,36,95
2,2,0,36,178
2,5,0,36,39
2,8,1,36,6
2,11,1,36,0
2,14,1,36,0
2,17,1,36,0
2,20,1,36,0
2,23,1,36,0
2,26,1,36,0
2,29,1,36,0
2,32,1,36,0
2,35,1,36,0
2,38,1,36,0
2,41,1,36,0
3,0,0,37,76
3,2,0,37,181
3,5,1,37,16
3,8,1,37,0
3,11,1,37,0
3,14,1,37,0
3,17,1,37,0
3,20,1,37,0
3,23,1,37,0
3,26,1,37,0
3,29,1,37,0
3,32,1,37,0
3,35,1,37,0
3,38,1,37,0
3,41,1,37,0
4,0,0,38,67
4,2,1,38,66
4,5,1,38,0
4,8,1,38,0
4,11,1,38,0
4,14,1,38,0
4,17,1,38,0
4,20,1,38,0
4,23,1,38,0
4,26,1,38,0
4,29,1,38,0
4,32,1,38,0
4,35,1,38,0
4,38,1,38,0
4,41,1,38,0
